=====================  =======================  ============================  ====================
Baro_Pressure [KPa]    Temperature [Celsius]    Acceleration [m/s^2]          Magnetic_Field [T]
=====================  =======================  ============================  ====================
76.5020                15.0400                  [0. 0. 0.]                    [0. 0. 0.]
99.5323                14.0063                  [ -0.4946   1.9885 188.3822]  [0. 0. 0.]
99.5034                13.9903                  [  1.1533   0.9179 188.3589]  [0. 0. 0.]
99.4743                13.9741                  [ -0.6308   0.1377 188.3339]  [0. 0. 0.]
99.4449                13.9579                  [ -0.3661   2.0524 188.2937]  [0. 0. 0.]
99.4153                13.9415                  [  1.1521   0.8873 188.2703]  [0. 0. 0.]
99.3855                13.9250                  [ -0.5716   0.1008 188.2447]  [0. 0. 0.]
99.3555                13.9084                  [ -0.5205   1.9789 188.204 ]  [0. 0. 0.]
99.3253                13.8917                  [  1.1529   1.1704 188.1781]  [0. 0. 0.]
99.2949                13.8748                  [ -0.2204  -0.0508 188.1542]  [0. 0. 0.]
99.2642                13.8579                  [ -0.871    1.6494 188.1139]  [0. 0. 0.]
99.2334                13.8408                  [  0.9274   1.716  188.0825]  [0. 0. 0.]
99.2023                13.8235                  [  0.4669  -0.     188.0607]  [0. 0. 0.]
99.1710                13.8062                  [ -1.0495   0.8884 188.0243]  [0. 0. 0.]
99.1395                13.7887                  [  0.1523   2.1422 187.9856]  [0. 0. 0.]
99.1078                13.7711                  [  1.1229   0.7315 187.9616]  [0. 0. 0.]
99.0758                13.7534                  [ -0.4145   0.0292 187.9334]  [0. 0. 0.]
99.0437                13.7356                  [ -0.8881   1.6301 187.8922]  [0. 0. 0.]
99.0113                13.7176                  [  0.7308   1.923  187.858 ]  [0. 0. 0.]
98.9788                13.6996                  [  0.8921   0.3115 187.8343]  [0. 0. 0.]
98.9460                13.6814                  [ -0.7027   0.2291 187.8018]  [0. 0. 0.]
98.9130                13.6630                  [ -0.7608   1.802  187.7599]  [0. 0. 0.]
98.8798                13.6446                  [  0.7846   1.8851 187.7261]  [0. 0. 0.]
98.8464                13.6260                  [  0.9363   0.3718 187.701 ]  [0. 0. 0.]
98.8127                13.6074                  [ -0.5369   0.1076 187.6687]  [0. 0. 0.]
98.7789                13.5885                  [ -0.9556   1.519  187.627 ]  [0. 0. 0.]
98.7448                13.5696                  [  0.3569   2.1225 187.5895]  [0. 0. 0.]
98.7106                13.5506                  [  1.1603   0.9563 187.5616]  [0. 0. 0.]
98.6761                13.5314                  [  0.1982  -0.0466 187.5326]  [0. 0. 0.]
98.6414                13.5121                  [ -0.9797   0.6415 187.4941]  [0. 0. 0.]
98.6065                13.4927                  [ -0.6358   1.9331 187.4519]  [0. 0. 0.]
98.5714                13.4731                  [  0.6699   1.9837 187.4165]  [0. 0. 0.]
98.5361                13.4535                  [  1.1289   0.7917 187.3878]  [0. 0. 0.]
